Date Time,Open,High,Low,Close,Volume
2015-12-28,2809.52,2823.75,2735.49,2735.49,15497676.0
2015-12-29,2732.55,2749.82,2710.2,2749.82,12769369.0
2015-12-30,2758.25,2781.84,2749.29,2779.51,13512855.0
2015-12-31,2780.54,2785.66,2713.69,2714.05,12958631.0
2016-01-04,2706.27,2710.3,2490.47,2491.27,12240174.0
2016-01-05,2353.23,2481.2,2333.61,2416.73,18289330.0
2016-01-06,2433.36,2472.19,2388.69,2468.37,14194459.0
2016-01-07,2415.33,2415.33,2254.5,2256.52,3875525.0
2016-01-08,2297.59,2318.12,2142.33,2248.99,16502293.0
2016-01-11,2188.19,2230.42,2105.77,2106.36,15208926.0
2016-01-12,2117.25,2179.09,2087.27,2147.53,14396596.0
2016-01-13,2160.32,2174.23,2059.78,2059.78,12465368.0
2016-01-14,1991.23,2179.38,1989.86,2175.01,15648666.0
2016-01-15,2160.17,2184.56,2096.19,2112.9,15910294.0
2016-01-18,2074.86,2206.83,2074.86,2174.93,16267626.0
2016-01-19,2170.09,2244.78,2148.72,2241.7,17700322.0
2016-01-20,2222.6,2249.35,2190.5,2204.65,15451188.0
2016-01-21,2173.31,2241.47,2112.4,2112.4,14945202.0
2016-01-22,2140.28,2161.24,2078.12,2149.59,13609891.0
2016-01-25,2165.73,2185.21,2136.88,2158.82,11334177.0
2016-01-26,2132.22,2135.56,1990.51,1994.05,13385707.0
2016-01-27,1997.32,2012.3,1888.25,1997.46,15926521.0
2016-01-28,1969.31,1990.92,1900.88,1906.46,11454203.0
2016-01-29,1908.26,2011.06,1907.29,1994.06,12809874.0
2016-02-01,1989.21,2011.68,1956.92,1992.69,11156089.0
2016-02-02,1996.59,2089.21,1996.59,2075.29,13287649.0
2016-02-03,2049.32,2105.38,2034.6,2090.51,12089846.0
2016-02-04,2095.62,2142.87,2095.62,2126.64,13143008.0
2016-02-05,2127.35,2141.56,2096.99,2096.99,9064702.0
2016-02-15,2029.56,2130.36,2029.56,2116.84,10100667.0
2016-02-16,2128.06,2208.57,2128.06,2201.93,13912171.0
2016-02-17,2197.93,2219.78,2171.0,2215.34,14618497.0
2016-02-18,2230.8,2239.91,2188.19,2190.91,14019500.0
2016-02-19,2186.01,2230.22,2182.96,2211.01,13407241.0
2016-02-22,2235.17,2245.56,2216.16,2245.56,15090614.0
2016-02-23,2245.75,2249.69,2189.53,2218.12,13926609.0
2016-02-24,2212.59,2230.01,2154.27,2203.74,12884021.0
2016-02-25,2198.93,2198.93,2030.42,2037.14,15298955.0
2016-02-26,2045.51,2057.8,1980.17,2014.92,12366693.0
2016-02-29,2000.57,2000.57,1866.25,1880.15,13247568.0
2016-03-01,1881.32,1952.43,1841.22,1934.92,13456661.0
2016-03-02,1930.84,2022.86,1925.02,2017.6,16949154.0
2016-03-03,2014.18,2063.53,2006.71,2007.08,16805473.0
2016-03-04,1994.06,2003.69,1895.4,1907.04,15220975.0
2016-03-07,1935.09,1995.94,1935.09,1953.33,11623160.0
2016-03-08,1944.65,2002.19,1865.65,2002.19,15627421.0
2016-03-09,1962.28,2015.71,1947.05,1970.81,13303672.0
2016-03-10,1968.77,1991.36,1935.12,1936.97,10508018.0
2016-03-11,1911.32,1948.6,1903.92,1934.87,8487655.0
2016-03-14,1962.1,2048.5,1962.1,2023.13,16134405.0
2016-03-15,2016.81,2034.7,1995.46,1996.92,12167059.0
2016-03-16,2029.92,2039.49,1961.42,1977.54,12220455.0
2016-03-17,1986.14,2089.14,1986.14,2087.29,21074139.0
2016-03-18,2102.19,2194.35,2102.08,2177.87,25596839.0
2016-03-21,2214.91,2234.35,2191.66,2227.03,25540998.0
2016-03-22,2201.19,2248.19,2189.94,2221.7,21060006.0
2016-03-23,2214.87,2259.11,2205.07,2259.11,19052794.0
2016-03-24,2234.22,2277.92,2217.84,2219.77,21400929.0
2016-03-25,2209.26,2232.07,2183.6,2216.09,15154009.0
2016-03-28,2233.13,2259.13,2192.35,2199.69,16260472.0
2016-03-29,2190.88,2194.89,2130.85,2152.55,14170516.0
2016-03-30,2172.74,2248.78,2172.74,2248.78,17405975.0
2016-03-31,2256.43,2271.96,2232.3,2238.29,18124976.0
2016-04-01,2223.38,2227.0,2171.34,2205.37,15701246.0
2016-04-05,2207.46,2285.2,2205.44,2279.52,19764938.0
2016-04-06,2274.77,2305.41,2271.5,2297.04,20912036.0
2016-04-07,2310.92,2316.63,2248.68,2248.68,20302345.0
2016-04-08,2230.95,2239.8,2194.23,2229.93,17946971.0
2016-04-11,2255.07,2301.41,2255.07,2283.14,19946625.0
2016-04-12,2283.21,2289.54,2236.44,2264.02,17078210.0
2016-04-13,2278.52,2330.05,2278.52,2294.01,21776634.0
2016-04-14,2310.6,2325.38,2289.57,2324.39,18334978.0
2016-04-15,2328.31,2328.31,2297.68,2309.68,14526977.0
2016-04-18,2288.42,2288.42,2249.34,2265.59,14309772.0
2016-04-19,2278.31,2289.05,2253.59,2272.52,13004320.0
2016-04-20,2279.76,2284.1,2119.42,2145.24,21667036.0
2016-04-21,2135.93,2160.26,2106.97,2110.16,12784062.0
2016-04-22,2093.78,2136.92,2090.95,2136.92,10471911.0
2016-04-25,2128.66,2130.06,2083.64,2126.83,9557990.0
2016-04-26,2123.87,2155.7,2119.38,2155.7,8911518.0
2016-04-27,2162.76,2176.33,2142.46,2146.61,10479199.0
2016-04-28,2149.1,2158.49,2108.27,2155.23,10123270.0
2016-04-29,2141.58,2162.19,2138.74,2138.74,8024639.0
2016-05-03,2138.96,2217.23,2126.87,2217.23,14551231.0
2016-05-04,2210.13,2233.59,2206.26,2211.02,13671722.0
2016-05-05,2208.4,2226.55,2198.76,2224.09,10800328.0
2016-05-06,2226.44,2235.96,2129.19,2129.19,16054793.0
2016-05-09,2107.33,2107.33,2045.12,2053.6,12230330.0
2016-05-10,2051.38,2067.62,2044.28,2054.22,7658732.0
2016-05-11,2067.69,2073.83,2032.3,2034.93,9382617.0
2016-05-12,2006.26,2039.32,1975.06,2034.56,9177545.0
2016-05-13,2030.94,2058.66,2013.86,2025.22,8301000.0
2016-05-16,2017.84,2057.86,2008.54,2057.86,9415721.0
2016-05-17,2059.51,2107.73,2036.88,2081.44,13540442.0
2016-05-18,2062.81,2062.81,2000.53,2020.47,12268130.0
2016-05-19,2023.96,2076.48,2023.96,2037.4,12323461.0
2016-05-20,2018.38,2065.3,2013.53,2065.3,10424853.0
2016-05-23,2073.0,2107.05,2073.0,2098.23,13928264.0
2016-05-24,2094.21,2094.21,2061.52,2075.51,12318602.0
2016-05-25,2091.97,2111.26,2062.64,2067.25,13310049.0
2016-05-26,2060.43,2086.49,2019.3,2086.01,13415969.0
2016-05-27,2076.3,2090.17,2065.37,2069.89,11795698.0
2016-05-30,2054.62,2083.83,2033.67,2058.52,10960379.0
2016-05-31,2061.84,2160.53,2060.14,2159.8,21485082.0
2016-06-01,2164.73,2188.88,2163.05,2168.82,20189498.0
2016-06-02,2163.59,2188.56,2160.25,2188.56,16283821.0
2016-06-03,2176.36,2236.58,2175.81,2204.97,22973700.0
2016-06-06,2212.46,2219.27,2181.99,2199.3,16256231.0
2016-06-07,2202.04,2204.18,2181.29,2196.73,14432062.0
2016-06-08,2191.27,2201.53,2166.97,2186.54,15083478.0
2016-06-13,2150.39,2165.28,2054.71,2054.71,18354659.0
2016-06-14,2045.21,2070.15,2032.44,2058.31,12691213.0
2016-06-15,2033.6,2143.45,2031.67,2128.8,17777760.0
2016-06-16,2124.16,2137.18,2097.35,2101.42,17067785.0
2016-06-17,2109.57,2154.52,2105.24,2122.89,15627913.0
2016-06-20,2117.99,2127.68,2088.29,2119.63,11924627.0
2016-06-21,2135.46,2153.23,2083.69,2092.0,16048069.0
2016-06-22,2085.98,2144.82,2085.65,2144.82,14222178.0
2016-06-23,2144.58,2153.58,2115.84,2137.49,16837015.0
2016-06-24,2131.15,2157.94,2060.2,2127.36,19922672.0
2016-06-27,2111.1,2194.13,2110.6,2191.81,21030922.0
2016-06-28,2181.41,2221.46,2173.53,2216.71,23215990.0
2016-06-29,2228.51,2238.35,2203.49,2209.79,18443876.0
2016-06-30,2213.6,2233.28,2206.8,2227.79,17941508.0
2016-07-01,2231.18,2241.63,2203.93,2211.18,14668383.0
2016-07-04,2195.62,2254.15,2193.84,2248.71,17784634.0
2016-07-05,2253.69,2259.29,2229.0,2246.02,16139170.0
2016-07-06,2239.76,2246.73,2229.27,2241.56,13738409.0
2016-07-07,2240.9,2247.58,2212.41,2233.92,16795981.0
2016-07-08,2231.97,2257.32,2220.21,2239.0,15557363.0
2016-07-11,2242.26,2252.66,2216.57,2218.59,16477804.0
2016-07-12,2218.02,2247.35,2182.03,2247.35,18671280.0
2016-07-13,2258.26,2299.86,2250.64,2285.37,23655174.0
2016-07-14,2282.16,2295.59,2273.42,2293.08,20113199.0
2016-07-15,2289.1,2293.08,2260.16,2263.78,17670910.0
2016-07-18,2257.42,2268.79,2234.21,2249.87,14307801.0
2016-07-19,2249.74,2273.72,2237.0,2273.72,15279340.0
2016-07-20,2272.64,2288.65,2268.53,2268.53,14955571.0
2016-07-21,2266.08,2289.67,2259.2,2265.13,14547039.0
2016-07-22,2262.1,2269.55,2248.3,2250.0,13498454.0
2016-07-25,2245.86,2264.44,2235.45,2245.89,12398386.0
2016-07-26,2245.94,2279.55,2245.94,2279.55,12447831.0
2016-07-27,2282.07,2284.28,2138.78,2155.39,22255143.0
2016-07-28,2150.32,2166.6,2109.87,2139.74,14281276.0
2016-07-29,2144.27,2147.19,2109.13,2122.41,10217499.0
2016-08-01,2113.67,2118.09,2066.18,2099.18,11030561.0
2016-08-02,2096.55,2114.95,2094.12,2113.21,7552175.0
2016-08-03,2110.23,2117.62,2096.73,2108.31,7799222.0
2016-08-04,2107.62,2133.18,2102.27,2129.65,9103905.0
2016-08-05,2128.74,2129.33,2107.44,2109.05,8018038.0
2016-08-08,2102.24,2130.59,2083.98,2130.59,8364470.0
2016-08-09,2128.64,2154.5,2128.22,2154.5,10306897.0
2016-08-10,2155.39,2164.62,2136.83,2137.0,9273979.0
2016-08-11,2134.6,2139.2,2103.4,2103.4,8555220.0
2016-08-12,2098.77,2123.86,2097.91,2123.84,7408592.0
2016-08-15,2126.79,2200.92,2112.25,2193.21,17899444.0
2016-08-16,2195.02,2211.01,2192.97,2201.1,14031463.0
2016-08-17,2200.24,2218.29,2195.37,2208.2,12322147.0
2016-08-18,2204.95,2213.3,2191.93,2201.59,12230952.0
2016-08-19,2200.68,2211.06,2194.11,2204.56,10110201.0
2016-08-22,2205.57,2213.41,2167.4,2167.4,11157702.0
2016-08-23,2168.34,2186.74,2160.3,2174.16,8888141.0
2016-08-24,2178.53,2204.8,2176.35,2192.17,11938671.0
2016-08-25,2179.01,2183.73,2152.11,2180.66,12363500.0
2016-08-26,2186.0,2211.63,2182.11,2189.75,12324770.0
2016-08-29,2187.72,2209.25,2183.81,2193.2,10617016.0
2016-08-30,2197.49,2210.4,2193.07,2195.53,9195771.0
2016-08-31,2194.61,2198.25,2175.84,2191.76,8950788.0
2016-09-01,2192.94,2201.28,2181.33,2181.33,9310263.0
2016-09-02,2176.39,2187.69,2160.11,2170.86,10194717.0
2016-09-05,2178.63,2199.65,2178.09,2182.69,8786130.0
2016-09-06,2183.23,2225.25,2161.93,2222.84,12993775.0
2016-09-07,2223.02,2232.12,2208.83,2212.05,12095709.0
2016-09-08,2211.39,2223.47,2207.11,2223.47,9526196.0
2016-09-09,2223.58,2228.54,2202.97,2202.97,10852276.0
2016-09-12,2163.45,2179.98,2145.03,2145.56,12429362.0
2016-09-13,2157.95,2165.58,2139.34,2145.87,8441238.0
2016-09-14,2137.4,2156.98,2131.71,2144.56,8118338.0
2016-09-19,2149.37,2174.4,2149.37,2165.21,7122703.0
2016-09-20,2164.42,2167.64,2153.94,2158.43,6226382.0
2016-09-21,2158.06,2170.08,2157.38,2162.13,6833986.0
2016-09-22,2174.3,2178.53,2166.61,2168.42,7425830.0
2016-09-23,2171.63,2173.49,2156.04,2156.51,7139096.0
2016-09-26,2154.4,2161.76,2122.9,2122.9,8670568.0
2016-09-27,2118.95,2140.8,2112.7,2140.8,7277514.0
2016-09-28,2143.72,2143.72,2132.55,2139.63,6509292.0
2016-09-29,2141.34,2155.42,2140.98,2146.18,6285021.0
2016-09-30,2144.47,2154.4,2143.34,2149.9,5640391.0
2016-10-10,2165.85,2208.47,2163.41,2208.47,10937795.0
2016-10-11,2207.43,2210.86,2201.31,2210.86,8803487.0
2016-10-12,2202.36,2216.52,2198.89,2209.69,9728405.0
2016-10-13,2211.75,2216.09,2200.52,2208.57,9113846.0
2016-10-14,2203.87,2203.87,2178.91,2194.23,9080538.0
2016-10-17,2199.18,2200.47,2160.0,2167.86,9532774.0
2016-10-18,2164.6,2198.14,2164.6,2198.14,9628962.0
2016-10-19,2200.53,2201.16,2180.47,2184.91,9622045.0
2016-10-20,2187.41,2199.06,2184.35,2193.26,9644504.0
2016-10-21,2196.85,2202.49,2167.83,2181.0,11446980.0
2016-10-24,2184.11,2204.36,2176.92,2200.8,11116745.0
2016-10-25,2202.79,2207.81,2196.57,2200.21,9560979.0
2016-10-26,2203.48,2204.84,2179.76,2184.49,11389605.0
2016-10-27,2182.91,2184.32,2171.24,2182.48,9341353.0
2016-10-28,2182.56,2192.9,2165.03,2165.43,10451183.0
2016-10-31,2158.57,2162.67,2145.57,2159.76,9005060.0
2016-11-01,2160.39,2177.83,2159.71,2176.45,8764775.0
2016-11-02,2170.81,2171.66,2145.07,2146.4,11109391.0
2016-11-03,2137.13,2167.93,2135.28,2153.18,11358573.0
2016-11-04,2151.92,2168.34,2142.41,2145.23,10557940.0
2016-11-07,2141.3,2145.82,2126.95,2130.3,9291182.0
2016-11-08,2138.45,2154.57,2136.25,2150.3,8908701.0
2016-11-09,2150.62,2154.85,2098.56,2123.84,11208038.0
2016-11-10,2143.56,2149.09,2138.94,2143.32,9005558.0
2016-11-11,2143.58,2147.11,2125.49,2147.11,12340071.0
2016-11-14,2146.83,2175.25,2146.83,2161.69,13823940.0
2016-11-15,2161.57,2179.3,2152.38,2179.3,13591229.0
2016-11-16,2187.5,2208.98,2182.12,2182.47,15704867.0
2016-11-17,2176.12,2176.12,2157.54,2163.04,9344910.0
2016-11-18,2164.71,2170.79,2155.23,2157.96,7756542.0
